	Cod	Gini_RD	Gini_RP	RendaMedia	RendaMedia2010
5307	3512506	0.4055864869026897	0.3885290243357995	636.217414561691	636.217414561691
5308	3546504	0.429419422703031	0.4307459548407201	679.367328636465	679.367328636465
5309	3511409	0.4474954345472477	0.4429071666763731	646.437741015684	646.437741015684
5310	3551405	0.7158361073777424	0.5736399284944474	477.126433869147	477.126433869147
5311	3510401	0.48499244138027586	0.48232032811218883	789.823079504159	789.823079504159
5312	3509809	0.43040941460077564	0.43796181084432717	499.289814351309	499.289814351309
5313	3554508	0.46997019866542433	0.4958178087830021	902.701771584825	902.701771584825
5314	3520442	0.49118096180098203	0.4833228006396355	1040.5792093031	1040.5792093031
5315	3556008	0.44365516500692437	0.4244707427633987	771.291957265992	771.291957265992
5316	3508702	0.49192418285954465	0.5026169748337901	620.876056807448	620.876056807448
5317	3512605	0.46897425893734135	0.4646112871862469	464.770629923987	464.770629923987
5318	3539400	0.47933809630994184	0.4849423640558326	898.68776481695	898.68776481695
