	COD	UF	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
81	al	2701803	395910.51260442	129200.02599091	0.32633643684021635	21753.56495203	0.05494566135394693	107446.46103888	0.27139077548626944
82	al	2703700	366961.78538619	53014.91031043	0.1444698396990771	2641.04628262	0.007197060805229534	50373.86402781	0.13727277889384756
83	al	2707800	454963.1530463	68870.9406833	0.1513769636555408	15028.6513774	0.033032678090022354	53842.2893059	0.11834428556551845
84	al	2704708	3979007.86855332	868271.78959997	0.21821313711441706	564104.89105716	0.14177023763017996	304166.89854281	0.07644289948423712
85	al	2700706	1827089.27530388	236926.01344455	0.1296740212134104	77664.90977403	0.04250745205710479	159261.10367052	0.08716656915630563
86	al	2700607	701327.90282077	157723.45305455	0.2248925964875769	109998.06213022	0.15684255779329928	47725.39092433	0.06805003869427766
87	al	2704401	1084513.32424859	308753.74769187	0.2846933650223168	95595.5336948	0.08814602048438068	213158.21399707	0.19654734453793607
88	al	2706208	251650.39087337	70790.45949841	0.28130478658398594	17523.25920608	0.06963334785717727	53267.20029233	0.2116714387268087
89	al	2701308	1188687.35848969	288698.75376092	0.24287189705435402	76939.87394884	0.06472675375853029	211758.87981208	0.1781451432958237
90	al	2706604	472322.66746958	147990.73845694	0.313325505315646	20130.94313338	0.04262116667241369	127859.79532356	0.27070433864323235
91	al	2706802	1392182.68343144	333637.62588701	0.23965075119643267	113440.21888286	0.08148371634910263	220197.40700415	0.15816703484733002
92	al	2707701	7030962.51118333	1579036.1324407	0.22458321032562922	847574.61916155	0.12054887475411967	731461.51327915	0.10403433557150955
93	al	2709103	1069906.5547123	251731.86812401	0.23528397598395986	40813.65904636	0.038146938035476266	210918.20907765	0.19713703794848358
94	al	2702702	237095.39291947	49014.10323117	0.206727354030948	7479.46493566	0.031546226367209156	41534.63829551	0.17518112766373883
95	al	2704500	1585166.91911785	278389.55894138	0.17562160526053913	106766.12225976	0.06735323641448161	171623.43668162	0.1082683688460575
96	al	2701357	472268.20952785	126405.03213919	0.26765517896189417	50910.6014503	0.10780018731558887	75494.43068889	0.15985499164630526
97	al	2704104	1221689.10491241	265950.37206933	0.21769071280078048	49081.35648126	0.040174997291785565	216869.01558807	0.1775157155089949
98	al	2706505	951292.19789239	235586.10443755	0.2476485195184997	95317.72982893	0.1001981620790212	140268.37460862	0.14745035743947849
99	al	2700201	1530849.42880063	451706.55483091	0.2950692251848748	203929.98363926	0.13321361317620403	247776.57119165	0.16185561200867074
100	al	2704609	646785.13392335	180433.39132043	0.2789696018922615	37927.00242654	0.05863926122803357	142506.38889389	0.22033034066422794
101	al	2701506	524693.66871215	147122.69446342	0.28039731225369974	33030.03064044	0.06295107528457805	114092.66382298	0.21744623696912171
102	al	2707305	1646886.27804947	389531.41932786	0.2365259972833164	120942.63847101	0.07343715232982047	268588.78085685	0.16308884495349593
103	al	2702801	773998.89394638	128810.48988954	0.16642205938147445	42866.03811541	0.055382557327503905	85944.45177413	0.11103950205397055
104	al	2705705	1789772.71512367	415748.17207553	0.23229104375233622	149727.3644505	0.08365719467354497	266020.80762503	0.14863384907879124
105	al	2705002	1530596.02197956	444284.42628467	0.290268901725006	127468.49286085	0.083280298021415	316815.93342382	0.206988603703591
106	al	2707206	468258.69817941	192794.66045838	0.4117268108589669	31777.96617025	0.06786412360048569	161016.69428813	0.3438626872584812
107	al	2704807	1569574.73845664	289100.9273822	0.18419060927705325	76993.30650793	0.04905360963163652	212107.62087427	0.13513699964541673
108	al	2706000	430083.37251167	176585.79553614	0.4105850326295711	20531.23280755	0.04773779718022673	156054.56272859	0.3628472354493444
