Cod2000	uf	Cod2010	gini(g)	parcela(ch)	p_total	p_1sal	p_nsal
2516755	pb	['2516755']	0.3842471033950978	0.36642364735219857	0.017823456042899255	0.19189688671173388	-0.3722115371036079
2516805	pb	['2516805']	0.4533482657102097	0.4007052094074286	0.0526430563027811	0.23060749101909028	-0.3282234673414498
2516904	pb	['2516904']	0.521542310231023	0.42236859290127604	0.099173717329747	0.2888161105866155	-0.3009825075373297
2517001	pb	['2517001']	0.4463357411259332	0.5151250909132662	-0.06878934978733298	0.13006721133506982	-0.42562594068777515
2517100	pb	['2517100']	0.40018834946795834	0.4472183204623693	-0.047029970994410975	0.20811210592560603	-0.4231233709678974
2517209	pb	['2517209']	0.3798771045372391	0.38906418408006505	-0.009187079542825938	0.10545388875551498	-0.4607984008894872
2517407	pb	['2517407']	0.41309543991982967	0.5937793146476897	-0.18068387472786007	-0.01199714947008601	-0.4746691754354617
2600054	pe	['2600054']	0.42521745041636494	0.40379203062432856	0.021425419792036382	0.49024764424778666	-0.34352185956502546
2600104	pe	['2600104']	0.5171984315149363	0.49742491053677185	0.019773520978164427	0.36518506726602207	-0.321408238622544
2600203	pe	['2600203']	0.4311222055994004	0.4659299670524186	-0.03480776145301823	0.15244773486475027	-0.4483540714751354
2600302	pe	['2600302']	0.41375611994271344	0.4296740033309897	-0.015917883388276266	0.14177182542435995	-0.4193198719530463
2600401	pe	['2600401']	0.4115500162733613	0.39132340854449743	0.020226607728863866	0.1541533096439015	-0.4115468763383989
2600500	pe	['2600500']	0.5030572622394686	0.48809757253225194	0.014959689707216617	0.16708494813697838	-0.3567676281425989
2600609	pe	['2600609']	0.453807086150388	0.5268037175640119	-0.07299663141362389	0.11385133678066828	-0.4214127115917221
2600708	pe	['2600708']	0.427576272337965	0.4294410916350222	-0.0018648192970571742	0.255215580459054	-0.4491310011775842
2600807	pe	['2600807']	0.4251848540637372	0.4940669888713862	-0.06888213480764904	0.10444390567189277	-0.4553330579364502
2600906	pe	['2600906']	0.48032540792889833	0.5223793762410868	-0.04205396831218844	0.13236721389567885	-0.38790108975930926
2601003	pe	['2601003']	0.4669386435161257	0.5173348609054444	-0.050396217389318765	0.2009033510889624	-0.3985800609836777
2601052	pe	['2601052']	0.40199950701962295	0.3191671449833079	0.08283236203631505	0.19755709994265702	-0.4114008466318775
2601102	pe	['2601102']	0.5234704117534626	0.45429510115488203	0.06917531059858062	0.21998931632691698	-0.29316498130354385
2601201	pe	['2601201']	0.5484505227801066	0.49709594430773296	0.05135457847237368	0.5126426487463891	-0.25574215060360506
2601300	pe	['2601300']	0.4486453682436712	0.529232154224714	-0.08058678598104285	0.07218111470418143	-0.46225444544874816
2601409	pe	['2601409']	0.46114023245939295	0.42532968117115366	0.03581055128823929	0.2778549432843501	-0.37610971842041374
2601508	pe	['2601508']	0.42600680421539006	0.5549862964202421	-0.12897949220485205	0.031314681656573584	-0.44304284826806717
2601607	pe	['2601607']	0.5870459858794773	0.5512541050058055	0.0357918808736718	0.31202497118500994	-0.28078217037628406
2601706	pe	['2601706']	0.471475519951277	0.44507363993303095	0.02640188001824606	0.33971426994159803	-0.3750564209024432
2601805	pe	['2601805']	0.4640072678849645	0.4448060221464505	0.019201245738514006	0.18536780502763528	-0.39414220477904693
