Cod2000,Cod2010,Gini_RD,Gini_RP,RendaMedia
1101559,['1101559'],0.4270888346393751,0.45270469240244926,458.42
1101609,['1101609'],0.5525622843889316,0.5139039479020079,369.3
1101708,['1101708'],0.49690376117126356,0.476036447758317,372.46
1101757,['1101757'],0.5464309088075842,0.5321380117053562,391.01
1101807,['1101807'],0.5725364770501981,0.5383875178826414,421.51
1200013,['1200013'],0.5125056823147345,0.4682534112637833,294.03
1200054,['1200054'],0.5835785681456913,0.4590009540079748,280.1
1200104,['1200104'],0.5690701092690674,0.5080455532663684,331.85
1200138,['1200138'],0.5400094665666976,0.48038571193780444,329.26
1200179,['1200179'],0.5326357403542541,0.5049290933543774,332.56
1200203,['1200203'],0.6110050777998888,0.5821418222011288,433.34
1200252,['1200252'],0.591363621069492,0.5724099919559162,455.14
1200302,['1200302'],0.6357909206780827,0.5463430087971426,243.02
1200328,['1200328'],0.6605457962558201,0.5338642408224947,174.1
1200336,['1200336'],0.5951531649757641,0.5310226401470242,292.58
1200344,['1200344'],0.5429684031530855,0.5104431811040749,304.26
1200351,['1200351'],0.5700915369902326,0.4636807038236255,156.15
1200385,['1200385'],0.5342731806709808,0.4683703994309174,307.33
1200393,['1200393'],0.5787642374359466,0.5550692133657824,204.71
1200401,['1200401'],0.6058490005499828,0.5735503932521635,698.89
1200427,['1200427'],0.6040580115373282,0.5257979255188043,180.01
1200435,['1200435'],0.6669555320090375,0.5243372164957159,201.6
1200450,['1200450'],0.5436887879537938,0.5246937807401242,448.87
1200500,['1200500'],0.5374584843390294,0.4561159726029712,315.12
1200609,['1200609'],0.6023165682898297,0.5075930893092193,248.05
1200708,['1200708'],0.537889800054557,0.5096983620667888,370.92
1200807,['1200807'],0.5815701052577193,0.5051287166911118,309.71
1300029,['1300029'],0.5596715234625285,0.4485963770034169,164.39
1300060,['1300060'],0.6619064705547921,0.5440733808312458,152.66
1300086,['1300086'],0.5535403293277564,0.4866210896246218,227.14
1300102,['1300102'],0.5660505469260775,0.5265685240684046,226.55
1300144,['1300144'],0.5588687362270544,0.531352028324291,371.92
1300201,['1300201'],0.626662175582859,0.5165211203590423,156.67
1300300,['1300300'],0.569150181873377,0.4964749410482686,223.55
1300409,['1300409'],0.7476507397887922,0.5688883510706397,185.74
1300508,['1300508'],0.5624823997805904,0.4939118936454301,144.64
1300607,['1300607'],0.5397114421278593,0.4991316666071488,205.8
1300631,['1300631'],0.6148435305758597,0.5521768689910196,189.31
1300680,['1300680'],0.5894284599296011,0.47550298558613,167.0
1300706,['1300706'],0.6079930693090173,0.565870552584261,284.1
1300805,['1300805'],0.6066087417828385,0.5364439492134963,215.5
1300839,['1300839'],0.5737122681295824,0.4783510909891151,221.82
1300904,['1300904'],0.580906452289849,0.4791365691805439,199.28
1301001,['1301001'],0.5084801963680657,0.49746507413838237,212.82
1301100,['1301100'],0.6297507415821144,0.5375853208573902,196.07
1301159,['1301159'],0.5281780280300818,0.46933036524231564,205.05
1301209,['1301209'],0.6044245281241245,0.5467615751084097,313.07
1301308,['1301308'],0.5923763514596062,0.5539677014319462,230.84
1301407,['1301407'],0.5813001366902228,0.5839151332624359,240.77
1301506,['1301506'],0.5999949319301439,0.5296955023431427,203.46
1301605,['1301605'],0.581220928248424,0.5393935834216741,198.26
1301654,['1301654'],0.6933644641540151,0.5805481035359165,191.4
1301704,['1301704'],0.6358256314087884,0.5850217536863063,368.49
1301803,['1301803'],0.5676338207482383,0.5052174479298729,153.38
1301852,['1301852'],0.5823870511422141,0.5140621787995414,323.98
1301902,['1301902'],0.57094488199917,0.5457373859232761,362.82
1301951,['1301951'],0.7636617275229649,0.6684390051673059,171.75
1302009,['1302009'],0.6894430027183334,0.6091019337191207,315.03
1302108,['1302108'],0.5814068426763498,0.5488312489613612,245.77
1302207,['1302207'],0.5770191000165235,0.5265763782201893,225.17
1302306,['1302306'],0.6803086246848189,0.619819690850135,212.98
1302405,['1302405'],0.5747803935461687,0.5142086554302798,222.92
1302504,['1302504'],0.5414457061744187,0.5328611479599752,334.49
1302553,['1302553'],0.5542497534959037,0.5382274867450838,247.48
1302603,['1302603'],0.6212484033919017,0.590926937167741,735.32
1302702,['1302702'],0.5883745978793274,0.5546442671415999,291.83
1302801,['1302801'],0.6709460967085843,0.518775873264411,126.45
1302900,['1302900'],0.6124509433891838,0.5697551753380701,237.62
1303007,['1303007'],0.6219605153708503,0.5343447567346494,183.36
1303106,['1303106'],0.5922541914824426,0.5319291125198922,222.51
1303205,['1303205'],0.5695982107401735,0.4696166020264293,242.59
1303304,['1303304'],0.5645968344593785,0.4833490048866018,219.01
1303403,['1303403'],0.5702221239588947,0.550886984304666,305.75
1303502,['1303502'],0.6962789855596876,0.6344397864844988,212.95
1303536,['1303536'],0.5065088236148161,0.46291604369038464,381.94
1303569,['1303569'],0.552028073045927,0.46356988940453303,303.98
1303601,['1303601'],0.6837881393550508,0.543738822160184,130.4
1303700,['1303700'],0.661247581117242,0.5512583894525696,122.74
1303809,['1303809'],0.7757903115552078,0.6862740105233712,331.95
1303908,['1303908'],0.6220512381969475,0.5265142902848652,147.69
1303957,['1303957'],0.5599782362408343,0.5580471500750798,260.47
1304005,['1304005'],0.5219613537838732,0.4894583912832229,236.81
1304062,['1304062'],0.6051652943250564,0.5886163868243145,317.2
1304104,['1304104'],0.5753465232549706,0.5302702914515302,189.68
1304203,['1304203'],0.5848712858358958,0.5764560772905765,386.13
1304237,['1304237'],0.5483087915358738,0.45210820387472006,188.58
1304260,['1304260'],0.5933554096867534,0.538570458258537,218.81
1304302,['1304302'],0.5782230776864816,0.5611948167372176,235.83
1304401,['1304401'],0.5746489995925839,0.5141926725921865,217.6
1400027,['1400027'],0.697315652712972,0.4615580311594216,119.6
1400050,['1400050'],0.693257866952144,0.516878634774262,192.32
1400100,['1400100'],0.581490774758167,0.571866937786925,746.83
