COD2000,UF,COD2010,GINI(G),PARCELA(CH),P_TOTAL,CH_1SAL,P_1SAL,CH_NSAL,P_NSAL,MBEN_TOT,MBEN_1SAL,MBEN_NSAL
1100205,RO,['1100205'],0.5549923525085453,0.4386474649503367,0.1163448875582086,-0.4410816297191196,0.9960739822276649,0.6955578934948214,-0.14056554098627616,0.08474649590824197,0.01915493710782379,0.06559155880041818
1100254,RO,['1100254'],0.5088517004197766,0.3085207522501021,0.20033094816967445,-0.03350246977078086,0.5423541701905574,0.7201388282113359,-0.21128712779155934,0.15217219789668904,0.08311225443820298,0.06905994345848605
1100262,RO,['1100262'],0.5078140903882556,0.166289380311193,0.34152471007706264,-0.043798177430160345,0.551612267818416,0.6860382441551399,-0.17822415376688427,0.1328650364325392,0.09461908132838483,0.03824595510415437
1100288,RO,['1100288'],0.5267337733440933,0.17955380345210237,0.34717996989199096,-0.18061450504647092,0.7073482783905642,0.6809703088346899,-0.15423653549059657,0.12532090240953328,0.07293300430228772,0.05238789810724556
1100296,RO,['1100296'],0.4830160389498316,0.21742029344851477,0.2655957455013168,-0.04027922524689287,0.5232952641967245,0.7033584747574928,-0.22034243580766122,0.18458977070688495,0.12062220280792103,0.06396756789896389
1100304,RO,['1100304'],0.5172917397092991,0.1892568675074785,0.3280348722018206,-0.3021897276864325,0.8194814673957316,0.6271054967639168,-0.10981375705461771,0.09370078129863217,0.044148250816773024,0.049552530481859154
1100320,RO,['1100320'],0.565125554687214,0.49792774030169007,0.06719781438552397,0.10229575956704506,0.462829795120169,0.8777307599589586,-0.3126052052717445,0.16512608839330736,0.08087768409250823,0.0842484043007991
1100338,RO,['1100338'],0.4798413171757001,0.4534106313883153,0.026430685787384833,0.07385155127519383,0.4059897659005063,0.8906402338469002,-0.41079891667120005,0.1874751596920165,0.10035605449981726,0.08711910519219924
1100346,RO,['1100346'],0.5264295080730413,0.289154455942747,0.23727505213029432,-0.010120308732614935,0.5365498168056563,0.7598049507938893,-0.23337544272084798,0.16236637963317305,0.09925355218055511,0.06311282745261793
1100379,RO,['1100379'],0.4914117317556058,0.34548479600902426,0.14592693574658155,0.12605699200270526,0.36535473975290056,0.7162146777518399,-0.22480294599623407,0.20767477869982467,0.13045877060911307,0.07721600809071162
1100403,RO,['1100403'],0.5323360714469377,0.5354758251766665,-0.0031397537297287448,0.12731786263957112,0.4050182088073666,0.8398734478615064,-0.3075373764145687,0.16345349017730582,0.06982592637178599,0.09362756380551981
1100452,RO,['1100452'],0.47673270388695443,0.28348171922657284,0.1932509846603816,0.06316148435943392,0.4135712195275205,0.6717236902766333,-0.19499098638967882,0.11266243917892003,0.07187480100609922,0.04078763817282083
