,UF,COD,Gini_RD,Gini_RP,RendaMedia,RendaMedia2010
164,AM,1300029,0.5460740171849936,0.5062322615794381,93.8,186.83
165,AM,1303502,0.6844247255276596,0.4752254705405865,37.1,73.91
166,AM,1304203,0.561241488925827,0.5274997936556676,117.09,233.22
167,AM,1301209,0.58708520706432,0.49585587812275933,80.78,160.9
168,AM,1301902,0.5761459174287431,0.5398363163576818,116.63,232.32
169,AM,1300680,0.6702456965757924,0.4473518260579673,55.97,111.48
170,AM,1301001,0.7298797859337336,0.6153453139474359,81.56,162.45
171,AM,1303536,0.6125985511012848,0.5600917983491477,182.2,362.93
172,AM,1301506,0.657337960548856,0.4482663581319202,43.12,85.89
173,AM,1301852,0.5729061624088544,0.5262369839823884,113.76,226.61
174,AM,1301159,0.5478124314119794,0.49286905255216984,84.44,168.2
175,AM,1300144,0.7522609633086134,0.6301430999852511,128.93,256.81
176,AM,1304062,0.5883800601971125,0.5689658122932848,141.05,280.96
177,AM,1302306,0.7699302132869292,0.6077657462248013,61.07,121.64
178,AM,1302405,0.6601584901540538,0.5067362763613705,64.63,128.74
179,AM,1303106,0.6582443229907267,0.5338945569102118,70.51,140.45
180,AM,1301654,0.6295363969953265,0.33193881583013707,34.9,69.51
181,AM,1300607,0.6020537556794721,0.5150179297068747,75.81,151.01
182,AM,1302553,0.6513706360875897,0.5465332285987468,114.34,227.75
183,AM,1301407,0.6292294805487381,0.516913227392267,70.13,139.7
184,AM,1300904,0.7048678398266971,0.5438374480967112,62.64,124.77
185,AP,1600402,0.6000182096370461,0.5053064369380249,86.53,172.36
186,AP,1600238,0.5157560867628314,0.45662217078737966,103.4,205.96
187,AP,1600808,0.6341611693617826,0.5440407232759004,107.65,214.42
188,AP,1600600,0.6130633141682549,0.5839231888160843,161.63,321.95
189,AP,1600550,0.5596816704341603,0.5328950553129819,92.35,183.94
190,AP,1600303,0.5973245665928001,0.5823038015028339,251.99,501.94
191,AP,1600204,0.6393802062677441,0.5456256684704708,116.6,232.25
192,AP,1600279,0.5678079279019306,0.5325889403755705,156.91,312.55
193,AP,1600535,0.6097768852784364,0.5380607762825466,149.52,297.84
194,AP,1600501,0.6333721781277795,0.6316285393622992,260.12,518.13
195,AP,1600055,0.6096588045986217,0.47415221177927325,132.63,264.19
196,AP,1600154,0.6950235435635584,0.50861925106777,91.69,182.64
197,AP,1600212,0.6052257466782772,0.4554258703688847,76.54,152.47
198,AP,1600709,0.5667388294054357,0.4944360617860034,89.09,177.47
199,AP,1600105,0.5805286312341768,0.5599359187295405,137.63,274.14
200,AP,1600253,0.5542366622396032,0.49049996067487733,86.45,172.21
201,BA,2901502,0.5237969658310921,0.3575152287690233,66.7,132.86
202,BA,2909505,0.5221620854807462,0.45493204427357914,74.99,149.37
203,BA,2915809,0.4265043005400184,0.3697056828531661,76.9,153.18
204,BA,2931806,0.6122888805131153,0.5141537578386521,78.88,157.12
205,BA,2919157,0.6058005171336817,0.560979694386492,102.23,203.63
206,BA,2921005,0.5525170690169016,0.4858071642067483,127.65,254.26
207,BA,2906709,0.537585010024068,0.5051747439628863,110.76,220.62
208,BA,2924678,0.4539274341476074,0.32988064344325296,59.88,119.27
209,BA,2924405,0.6241036765071968,0.3735531586441643,46.12,91.87
210,BA,2910602,0.592516792795624,0.4794497067314907,82.72,164.77
211,BA,2903706,0.5348812492768951,0.35406301594935274,53.78,107.12
212,BA,2907103,0.5503356229332456,0.45153259992118555,64.4,128.28
213,BA,2928109,0.6106837465497216,0.5319875154860316,96.14,191.5
214,BA,2910404,0.44450659435203177,0.37024211976537036,80.11,159.57
215,BA,2905008,0.6706565367057331,0.6227089162578289,146.26,291.34
216,BA,2926202,0.5530870857754879,0.3795600739524718,55.63,110.81
217,BA,2933174,0.4655889083973792,0.3592346987103019,76.78,152.95
218,BA,2920007,0.5078134064074243,0.44047773113802347,94.69,188.61
219,BA,2923035,0.5745512736812501,0.5109841449581549,103.79,206.74
220,BA,2903003,0.50645458567453,0.45273253278471237,89.7,178.68
221,BA,2906808,0.596325072350242,0.454258934156613,56.08,111.71
222,BA,2923506,0.5872710922425202,0.5270527053428854,114.83,228.72
223,BA,2927804,0.42800652373762293,0.3647076450506854,76.57,152.53
224,BA,2933208,0.5956441794767078,0.5487399493123089,137.99,274.87
225,BA,2919207,0.6742221439815175,0.6595934827894666,318.07,633.56
226,BA,2908309,0.5039916513934588,0.41986201058785744,94.63,188.5
227,BA,2909703,0.503829467408673,0.4630748483093565,77.28,153.94
228,BA,2903409,0.5876160709794296,0.5246242045839478,115.44,229.95
229,BA,2924603,0.6240294336835497,0.4813485128479683,76.48,152.34
230,BA,2909802,0.5842871420825733,0.5528399098769984,158.06,314.84
231,BA,2921104,0.6271647844179651,0.5660232700917038,140.42,279.71
232,BA,2928000,0.6249649046236458,0.5985477009731723,116.13,231.31
233,BA,2908408,0.5337244574103291,0.5187155147293872,94.69,188.61
234,BA,2913804,0.4385140001833243,0.3459388365067053,69.26,137.97
235,BA,2925808,0.556303048219392,0.5325749602302065,80.76,160.86
236,BA,2914901,0.5500939886043377,0.4869538849337415,83.72,166.76
237,BA,2920908,0.520978649428889,0.3866573657165542,71.25,141.92
238,BA,2917904,0.5100977279671299,0.4017702964216202,57.44,114.42
239,BA,2909406,0.4924617857385246,0.44911850627592387,77.33,154.03
240,BA,2921054,0.5550884544460688,0.31503640294087365,43.09,85.83
241,BA,2906303,0.5988987539762831,0.5244587191446248,120.59,240.2
242,BA,2929404,0.4627173506936093,0.4629980061935951,104.39,207.94
243,BA,2901700,0.5341764368920983,0.443858768783549,77.34,154.05
244,BA,2929909,0.6075932986554868,0.5436789909796499,110.18,219.47
245,BA,2910776,0.570743920470628,0.45833044623994035,69.31,138.05
246,BA,2900504,0.5855394532059777,0.5099301346600624,73.51,146.43
247,BA,2902054,0.48740817744538645,0.37254867291708327,59.7,118.91
248,BA,2910107,0.5015438792690576,0.40726459928864966,87.86,175.0
249,BA,2908507,0.5559811307196154,0.5236175288482444,139.68,278.23
250,BA,2900603,0.5395709115472669,0.4279167683567505,89.45,178.17
251,BA,2904407,0.521162292628512,0.35633744958468383,54.54,108.63
252,BA,2922730,0.5437120302806107,0.5432609669278424,116.29,231.63
253,BA,2908101,0.601602924049511,0.48541328837020414,83.66,166.65
254,BA,2918100,0.6177954087333962,0.5125937007720144,79.62,158.59
255,BA,2912509,0.5719022061926571,0.45499931798307847,94.2,187.65
256,BA,2915601,0.5629134570788462,0.5326796117345689,142.67,284.18
257,BA,2921807,0.5747157511374134,0.4517931722195798,84.97,169.25
258,BA,2930154,0.5920382274476517,0.45352605958940484,60.37,120.25
259,BA,2900306,0.5341906775806244,0.45276011100895697,77.0,153.39
260,BA,2911006,0.5275977492778854,0.4338509958044977,86.27,171.84
261,BA,2907301,0.5427446865329077,0.4278871637228663,79.83,159.01
262,BA,2911659,0.46355331981892234,0.3846849132155732,87.55,174.39
263,BA,2905107,0.5291713596172274,0.4036597836258715,64.36,128.2
264,BA,2901007,0.5435927231757531,0.5052174737376963,122.49,243.99
265,BA,2904902,0.5807251190426701,0.5103656929120871,118.42,235.87
266,BA,2933109,0.4986980717965187,0.42094884309112135,84.84,169.0
267,BA,2924207,0.47750641425094853,0.387624983465357,51.82,103.22
268,BA,2933307,0.6207404472048946,0.6065234969985859,203.33,405.02
269,BA,2916005,0.5677757862559927,0.5433887426804183,119.03,237.09
270,BA,2926657,0.4592564881478872,0.37619858495971026,77.02,153.42
271,BA,2916609,0.5150696531454184,0.4165118834389798,80.68,160.7
