	uf	cod	gini(g)	parcela(ch)	p_total	p_1sal	p_nsal
833	es	3200169	0.5293707425984027	0.3683931933871246	0.16097754921127805	0.4899544096133377	-0.33995643648728247
834	es	3203205	0.5961218675665856	0.3147970695850626	0.281324797981523	0.9652305515696276	-0.12785434789713945
835	es	3204955	0.4760651590150988	0.1437035605007485	0.3323615985143503	0.7542105660656069	-0.21645755779375142
836	es	3201001	0.6133489087543131	0.11819331244259623	0.4951555963117169	0.7198227721083117	-0.1580762608789381
837	es	3202702	0.5260541891128974	0.3953552449364609	0.13069894417643646	0.6849446276570348	-0.22780799863541856
838	es	3203056	0.5600399428285829	0.20845280064758553	0.3515871421809974	0.6902764542662396	-0.1794943858003769
839	es	3202603	0.6980043475588853	0.2937264850181758	0.4042778625407095	0.9085611349838323	-0.019899646556713946
840	es	3200904	0.569541021514391	0.29963177664576945	0.26990924486862156	0.6811669103767712	-0.22337067572153235
841	es	3202009	0.5584291010719602	0.39709842116564853	0.16133067990631167	0.8254039595798892	-0.2798018886165772
842	es	3203346	0.5533426008222327	0.47321627237156105	0.08012632845067169	0.8662894217423956	-0.24862793595354393
843	es	3202801	0.46773111734647355	0.35137792334122353	0.11635319400525002	0.6906657646725427	-0.3042090487442626
844	es	3202553	0.5556402635578439	0.17476244831474086	0.38087781524310305	0.6921223507183927	-0.19975355251024762
845	es	3204104	0.548849519364609	0.19613664318455315	0.35271287618005587	0.6078624715020893	-0.2557445932468807
846	es	3205101	0.4487322845556958	0.35691739999405625	0.09181488456163955	0.8292479779581838	-0.29483231222739037
847	es	3202454	0.5307541646486266	0.022647103108556887	0.5081070615400697	0.8161735522403174	-0.10057235343781668
848	es	3201902	0.5758681904953695	0.3530160062904011	0.22285218420496844	0.6806394195969487	-0.18280739839198734
849	es	3201704	0.4961679636300098	0.16862614155564115	0.32754182207436866	0.6771210602224489	-0.2303588328639281
850	es	3203700	0.619149062251717	0.4514210899944785	0.16772797225723846	0.8067083837505465	-0.21267785884773915
851	es	3202108	0.5910226257175493	0.3148054736578567	0.27621715205969255	0.6044287868347811	-0.21258853854926685
852	es	3202306	0.6002093276855291	0.5220704640991398	0.07813886358638933	0.7480314372485548	-0.16109893629875938
853	es	3202504	0.6303273073524034	0.4910058208363772	0.13932148651602616	0.9401152716763452	-0.15045260309388886
854	es	3205176	0.5853328791166724	-0.04518855446091252	0.6305214335775849	0.7860500267979474	0.11070030758780025
855	es	3200607	0.5851923529686242	0.38076157263458765	0.2044307803340365	1.0287692598246898	-0.08434721372736587
856	es	3204005	0.5740717289499149	0.22863479929265274	0.34543692965726214	0.6630173373220118	-0.2164787818114312
857	es	3205036	0.5139468570002809	0.2397365546521092	0.2742103023481717	0.7347618738393135	-0.22029474022753337
858	es	3200201	0.57097356212474	0.5377084464999462	0.03326511562479384	0.7747439994910144	-0.2632185684694355
859	es	3203601	0.4978875657833626	0.15093182324812127	0.3469557425352413	0.4660803841874619	-0.21108040389944904
860	es	3204351	0.595316105819532	0.05779277664014115	0.5375233291793908	0.6944329984698683	0.0021143183635905505
861	es	3201308	0.4960340627831016	0.4309484963928989	0.06508556639020269	0.9310429726309716	-0.2019206561785658
