Cod2000	Cod2010	Gini_RD	Gini_RP	RendaMedia	RendaMedia2010
4308706	['4308706']	0.43897680846401554	0.4381695362223803	759.939800297394	759.939800297394
4308805	['4308805']	0.46597624125503745	0.4981624381074542	629.265534369556	629.265534369556
4308854	['4308854']	0.47873914141616347	0.45854586721147905	629.186598708039	629.186598708039
4308904	['4308904']	0.4620035531248381	0.4509863596648287	824.612492508933	824.612492508933
4309001	['4309001']	0.5373310254457357	0.5425486023180395	629.377618540605	629.377618540605
4309050	['4309050']	0.4380067274980498	0.42518231710412735	670.943236508146	670.943236508146
4309100	['4309100']	0.4991114867341342	0.49329175128436886	1012.82098969445	1012.82098969445
4309126	['4309126']	0.4512213990021249	0.5094382703131162	481.370272470882	481.370272470882
4309159	['4309159']	0.556412792831311	0.5576853221588314	534.072642428247	534.072642428247
4309209	['4309209']	0.45326031031255454	0.45863841146920536	712.740318312098	712.740318312098
4309258	['4309258']	0.5816321108689073	0.555300024171131	1405.43930548307	1405.43930548307
4309308	['4309308']	0.47878431758688833	0.48007121897874194	741.691076072304	741.691076072304
4309407	['4309407']	0.44637850955461844	0.429001806475379	1022.08594017514	1022.08594017514
4309506	['4309506']	0.4381223433257291	0.43098912434789494	611.370312364914	611.370312364914
4309555	['4309555']	0.38025097815442566	0.36228261867015366	840.078031671841	840.078031671841
4309571	['4309571']	0.3976555473807796	0.4212639222704043	508.338654431706	508.338654431706
4309605	['4309605']	0.4920645448503125	0.4947390969164639	1030.86344056895	1030.86344056895
4309654	['4309654']	0.5241459483560791	0.5493244032458889	455.20409338674	455.20409338674
4309704	['4309704']	0.41439018393682236	0.42418299170984897	754.74187541362	754.74187541362
4309753	['4309753']	0.4068478700994186	0.4345570758377576	571.416354064845	571.416354064845
4309803	['4309803']	0.4536293342920148	0.43673896626051567	934.253134211855	934.253134211855
4309902	['4309902']	0.4483416047948583	0.44442490018130654	785.428956944609	785.428956944609
4309951	['4309951']	0.4981016149549833	0.5352397240688476	510.946967412255	510.946967412255
4310009	['4310009']	0.49995845742401723	0.49308414091461705	1044.19869784588	1044.19869784588
4310108	['4310108']	0.44915988154934716	0.4426023435425238	839.413962482923	839.413962482923
4310207	['4302584', '4310207']	0.5184213311978656	0.5018942243111267	1008.7439463987635	1008.7439463987635
4310306	['4310306']	0.5010340546909895	0.49101226766846473	859.56265756449	859.56265756449
4310330	['4310330']	0.5806677124780586	0.5930617699645395	973.189635849593	973.189635849593
4310363	['4323770', '4310363']	0.39273186113173975	0.3405687928012821	1028.28458066072	1028.28458066072
4310405	['4310405']	0.4840270628874256	0.48789890097096045	654.620809656358	654.620809656358
4310413	['4310413']	0.4219936318486117	0.43078756723189704	448.109052599817	448.109052599817
4310439	['4310439']	0.47723973238744366	0.4743790422967	831.587208946022	831.587208946022
4310462	['4310462']	0.5162242071488117	0.4808497866605964	1300.37450174852	1300.37450174852
4310504	['4310504']	0.5417824040050928	0.5483945637824685	538.149418732594	538.149418732594
4310538	['4310538']	0.5819944115556116	0.6043275582809422	867.657185211614	867.657185211614
4310553	['4310553']	0.6166445825121982	0.6276293346022753	560.901056153821	560.901056153821
4310579	['4310579']	0.41336373678907246	0.40286001097811175	657.916232703601	657.916232703601
4310603	['4310603']	0.5110263783509981	0.523973864087429	560.849401737707	560.849401737707
4310702	['4310702']	0.5032864194917693	0.5206245106296674	575.612009709906	575.612009709906
4310751	['4310751']	0.4395415376237144	0.44260486471834903	661.213831919413	661.213831919413
4310801	['4310801']	0.45163569484794297	0.4508127907302757	1014.113862167	1014.113862167
4310850	['4310850']	0.5309381971001574	0.5598157346733417	387.973190279217	387.973190279217
4310900	['4310900']	0.41164395439771206	0.39251974851827254	631.88412839724	631.88412839724
4311007	['4311007']	0.49495755914012196	0.503381912172934	607.45665218385	607.45665218385
4311106	['4311106']	0.5232734438134865	0.5236424700555025	756.913296483095	756.913296483095
4311122	['4311122']	0.42108179149520153	0.4442217499968738	382.670022980159	382.670022980159
4311130	['4311130']	0.5426565775307219	0.5708504366897308	403.37117897085	403.37117897085
4311155	['4311155']	0.5507598943316431	0.5660470957867518	497.312224440167	497.312224440167
4311205	['4311205']	0.5930251111538801	0.6015621113543382	746.349853662379	746.349853662379
4311254	['4311254']	0.4193760266126283	0.4328287417604775	428.941335114011	428.941335114011
4311270	['4311270']	0.4584471368984291	0.4335972375724233	931.312624554504	931.312624554504
4311304	['4304622', '4311304']	0.5154659173280578	0.5283525481236239	595.2987676722739	595.2987676722739
4311403	['4304614', '4308433', '4311403']	0.4782717509972962	0.4634330698090645	897.0179130842549	897.0179130842549
4311429	['4311429']	0.45873496479792797	0.5043724767894158	337.275007327141	337.275007327141
4311502	['4311502']	0.49693867241792966	0.5012704721354221	541.327921456553	541.327921456553
4311601	['4311601']	0.416263959700678	0.43345837388213726	550.225921766345	550.225921766345
4311627	['4311627']	0.3800599186474496	0.37814641965850715	668.077434043929	668.077434043929
4311643	['4311643']	0.40784834243398627	0.3631654998271483	855.389160614939	855.389160614939
4311700	['4311700']	0.5131952330191434	0.5168259073899015	649.583391706438	649.583391706438
4311718	['4311718']	0.478506835213368	0.5129036223252637	486.147808267813	486.147808267813
4311734	['4311734']	0.4392498686815217	0.4691180813187813	453.733948500585	453.733948500585
4311759	['4311759']	0.5099514094118578	0.5235271031001888	564.8474619213	564.8474619213
4311775	['4311775']	0.4321953345500168	0.4307493096972532	601.573203418579	601.573203418579
4311791	['4311791', '4318614']	0.40338372704471004	0.367772270744036	862.5818124521466	862.5818124521466
4311809	['4311809']	0.4477500568732141	0.44030745160603624	975.886833062822	975.886833062822
4311908	['4311908']	0.488863052452696	0.475246441794811	763.839990039804	763.839990039804
4311981	['4311981']	0.4551482669519834	0.4730150534481865	614.655802922684	614.655802922684
4312005	['4312005']	0.5036527620161074	0.4691087751444547	922.228038955857	922.228038955857
4312054	['4312054']	0.4285823466035503	0.4205472914867253	813.997141027414	813.997141027414
4312104	['4312104']	0.46359570923330995	0.47731024192335547	470.244966720046	470.244966720046
4312138	['4312138']	0.5590498505250446	0.5665771656980785	831.346045937893	831.346045937893
4312153	['4312153']	0.37477078310474865	0.36402340057179117	704.849354002844	704.849354002844
4312203	['4312203']	0.42779841662933915	0.44727368587302985	613.990535328007	613.990535328007
4312252	['4312252']	0.6251950030996605	0.627307244049404	790.992080004402	790.992080004402
4312302	['4312302']	0.6557335947005257	0.6719160159209172	809.770490824546	809.770490824546
4312351	['4312351']	0.42048236643015824	0.35236228692071436	1087.27101106331	1087.27101106331
4312377	['4312377']	0.5377283400366784	0.5594345581475046	474.4811627032	474.4811627032
4312385	['4312385']	0.3736182467072837	0.33169174863286166	856.846140347734	856.846140347734
4312401	['4312401']	0.5175863397753201	0.5150593034630149	889.861660465533	889.861660465533
4312427	['4312427']	0.5747039942821175	0.5808899253205682	751.955327799825	751.955327799825
