Cod2000	UF	Cod2010	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
1100155	ro	['1100155']	21306462.2199429	4511550.66115104	0.21174564855390293	2096375.30417053	0.09839152471818234	2415175.3569805	0.11335412383572012
1100189	ro	['1100189']	24279793.7986477	4280421.71625145	0.1762956370943255	2947033.75757017	0.12137803895741113	1333387.95868127	0.05491759813691396
1100205	ro	['1100205']	375716397.880121	44339278.6164137	0.11801262565750706	34310149.0061422	0.09131927485658867	10029129.6102716	0.026693350800918652
1100254	ro	['1100254']	11546365.1430673	2142870.58150308	0.18558832627856986	955689.093355583	0.08276969258411167	1187181.4881475	0.10281863369445844
1100262	ro	['1100262']	1387731.52516058	215714.504498134	0.15544397499593648	56241.2137549416	0.04052744550026253	159473.290743192	0.11491652949567367
1100288	ro	['1100288']	31977864.0179257	4882861.66268405	0.15269505367672104	2082845.24443937	0.06513397027618224	2800016.41824469	0.08756108340053909
1100296	ro	['1100296']	4186304.10352746	906121.505099077	0.21644904017736355	314464.720425233	0.07511750523815483	591656.784673844	0.14133153493920872
1100304	ro	['1100304']	57556368.85619	6934342.86581393	0.12047915814738135	3770462.55897435	0.06550904155186031	3163880.30683958	0.054970116595521035
1100320	ro	['1100320']	9399705.72142792	2163850.74729432	0.23020409483262066	1062373.57004548	0.1130220031914035	1101477.17724884	0.11718209164121719
1100338	ro	['1100338']	8258048.6242369	2044527.21963002	0.24757994444709971	1026568.97477854	0.12431132601540014	1017958.24485148	0.12326861843169956
1100346	ro	['1100346']	7815694.13139688	1524124.01922534	0.19500814561085403	660766.448257217	0.08454353985051866	863357.570968122	0.11046460576033522
1100379	ro	['1100379']	4273090.78960873	1131611.58209784	0.26482273319576655	450315.27847495	0.1053839716137142	681296.303622887	0.1594387615820516
1100403	ro	['1100403']	8479708.32011542	1798087.95449884	0.2120459674578012	982055.134578393	0.11581237201859627	816032.81992045	0.09623359543920525
1100452	ro	['1100452']	14324665.9142111	2163681.92284076	0.15104589075925545	655521.935585734	0.04576176083348715	1508159.98725503	0.10528412992576859
1100502	ro	['1100502']	3394968.72849459	1054159.62666078	0.3105064320071718	378870.050276693	0.11159750812924071	675289.576384083	0.19890892387792994
1100601	ro	['1100601']	2853921.48068125	814478.317730714	0.2853891823037446	167097.506877989	0.058550141624114246	647380.810852725	0.22683904067963034
1100700	ro	['1100700']	6390379.14691141	597579.533258284	0.09351237532550873	185293.97934406	0.028995772407904165	412285.553914224	0.06451660291760455
1100809	ro	['1100809']	9954596.13324783	1259513.51412596	0.12652582759427586	648020.502838671	0.06509761864414734	611493.011287286	0.0614282089501282
1100908	ro	['1100908']	1627289.02585474	324060.577684285	0.1991413771834852	111511.825982559	0.0685261340860988	212548.751701726	0.13061524309738642
1100924	ro	['1100924']	3966017.24542161	484036.21058206	0.1220459167546066	213006.695597639	0.05370796000535171	271029.514984422	0.06833795674925515
1100940	ro	['1100940']	7849648.79106871	785312.00494582	0.10004422183057972	225490.805705527	0.028726228613194675	559821.199240293	0.07131799321738505
1101005	ro	['1101005']	4058815.70072944	917598.652263083	0.22607546632338457	280231.171311718	0.06904259566684823	637367.480951365	0.15703287065653632
1101104	ro	['1101104']	3519245.138005	540276.171581678	0.15352047112238146	239249.41179978	0.06798316184799971	301026.759781898	0.08553730927438176
1101203	ro	['1101203']	4486377.68946661	1125597.086206	0.2508921816477345	436099.468739071	0.09720525085593482	689497.617466928	0.15368693079179946
